"","Category","CatID","n","min","mean","mode","max","varitn","sd","se","pos"
"1","FUNDING",400,88,0,2.13636363636364,0,5,3.82027168234065,1.95455152972252,0.208355893145398,43
"2","DEFINE/PLAN",500,340,0,2.25588235294118,0,5,5.13492104806524,2.26603641808009,0.122893079401965,45
"3","INVENTORY/EVALUATE",600,76,0,2.14473684210526,0,5,4.71210526315789,2.1707384142632,0.249000773174605,43
"4","OBTAIN",700,304,0,2.80592105263158,5,5,4.26253908285565,2.06459174726038,0.118412457710211,56
"5","ACCESS",800,143,0,1.66433566433566,0,5,4.02738106963459,2.00683359291063,0.167819855748534,33
"6","MAINTAIN/STEWARDSHIP",900,298,0,1.59459459459459,0,5,2.92661475034356,1.71073514909338,0.0991002263717128,32
"7","USE/EVALUATE",1000,150,0,1.6,0,5,4.22818791946309,2.05625580107707,0.167892583109223,32
